ProductName,Type,Energy,Protein,TotalFat,SaturatedFat,TransFat,Carbohydrate,Sugars,Sodium
Herbs_Chicken_Breast,Meat,112,21.1,1.4,0,0,3.6,0,550
Basil_&_Garlic_Chicken_Breast,Meat,115,20.9,1.7,0.5,0,4,1,469
Black_Pepper_Chicken_Breast,Meat,102,19.4,1.5,0,0,2.7,0,623
Sweet_Pepper_Garlic_Chicken_Breast,Meat,121,21.7,2,0,0,4.2,1.5,548
Peking_Duck_Cold_Wrap,Wrap,201,8.8,6.2,2.4,0,27.6,5.1,751
Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Wrap,244,12.5,11,2,0,23.8,1.8,519
Smoked_Salmon_&_Egg_Salad_Cold_Wrap,Wrap,451,21.3,22.7,2,0,40.5,4,600
Caesar_Chicken_Cold_Wrap,Wrap,321,21,14.4,3,0,26.9,2,400
Bacon_&_Egg_Mayo_Sandwich,Sandwich,257,9.5,17.6,4.3,0,15.2,2.7,388
Ham_Cheese_&_Pickle_Sandwich,Sandwich,201,8.8,10,2.7,0,19,3.5,447
Super_Club_Sandwich,Sandwich,169,7.7,8.4,1.9,0,15.8,2.2,294
Smoked_Salmon_&_Egg_Mayo_Sandwich,Sandwich,227,10,12.1,1.9,0,19.5,1.1,368
Chef_Salad,Salad,141,7.1,10.3,1.1,0,4.8,1.1,240
Chicken_Caesar_Salad,Salad,130,9.5,9.5,1.1,0,1.7,1.7,227
