,Dishes,sum_Energy,sum_Protein,sum_TotalFat,sum_SaturatedFat,sum_TransFat,sum_Carbohydrate,sum_Sugars,sum_Sodium,Types
0,Herbs_Chicken_Breast,112,21.1,1.4,0.0,0,3.6,0.0,550,Meat
1,Basil_&_Garlic_Chicken_Breast,115,20.9,1.7,0.5,0,4.0,1.0,469,Meat
2,Black_Pepper_Chicken_Breast,102,19.4,1.5,0.0,0,2.7,0.0,623,Meat
3,Sweet_Pepper_Garlic_Chicken_Breast,121,21.7,2.0,0.0,0,4.2,1.5,548,Meat
4,Peking_Duck_Cold_Wrap,201,8.8,6.2,2.4,0,27.6,5.1,751,Wrap
5,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,244,12.5,11.0,2.0,0,23.8,1.8,519,Wrap
6,Smoked_Salmon_&_Egg_Salad_Cold_Wrap,451,21.3,22.7,2.0,0,40.5,4.0,600,Wrap
7,Caesar_Chicken_Cold_Wrap,321,21.0,14.4,3.0,0,26.9,2.0,400,Wrap
8,Bacon_&_Egg_Mayo_Sandwich,257,9.5,17.6,4.3,0,15.2,2.7,388,Sandwich
9,Ham_Cheese_&_Pickle_Sandwich,201,8.8,10.0,2.7,0,19.0,3.5,447,Sandwich
10,Super_Club_Sandwich,169,7.7,8.4,1.9,0,15.8,2.2,294,Sandwich
11,Smoked_Salmon_&_Egg_Mayo_Sandwich,227,10.0,12.1,1.9,0,19.5,1.1,368,Sandwich
12,Chef_Salad,141,7.1,10.3,1.1,0,4.8,1.1,240,Salad
13,Chicken_Caesar_Salad,130,9.5,9.5,1.1,0,1.7,1.7,227,Salad
14,"Basil_&_Garlic_Chicken_Breast,Herbs_Chicken_Breast",227,42.0,3.0999999999999996,0.5,0,7.6,1.0,1019,Meat
15,"Black_Pepper_Chicken_Breast,Herbs_Chicken_Breast",214,40.5,2.9,0.0,0,6.300000000000001,0.0,1173,Meat
16,"Sweet_Pepper_Garlic_Chicken_Breast,Herbs_Chicken_Breast",233,42.8,3.4,0.0,0,7.800000000000001,1.5,1098,Meat
17,"Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",313,29.900000000000002,7.6,2.4,0,31.200000000000003,5.1,1301,"Meat,Wrap"
18,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Herbs_Chicken_Breast",356,33.6,12.4,2.0,0,27.400000000000002,1.8,1069,"Meat,Wrap"
19,"Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",563,42.400000000000006,24.099999999999998,2.0,0,44.1,4.0,1150,"Meat,Wrap"
20,"Caesar_Chicken_Cold_Wrap,Herbs_Chicken_Breast",433,42.1,15.8,3.0,0,30.5,2.0,950,"Meat,Wrap"
21,"Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",369,30.6,19.0,4.3,0,18.8,2.7,938,"Meat,Sandwich"
22,"Ham_Cheese_&_Pickle_Sandwich,Herbs_Chicken_Breast",313,29.900000000000002,11.4,2.7,0,22.6,3.5,997,"Meat,Sandwich"
23,"Super_Club_Sandwich,Herbs_Chicken_Breast",281,28.8,9.8,1.9,0,19.400000000000002,2.2,844,"Meat,Sandwich"
24,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",339,31.1,13.5,1.9,0,23.1,1.1,918,"Meat,Sandwich"
25,"Chef_Salad,Herbs_Chicken_Breast",253,28.200000000000003,11.700000000000001,1.1,0,8.4,1.1,790,"Meat,Salad"
26,"Chicken_Caesar_Salad,Herbs_Chicken_Breast",242,30.6,10.9,1.1,0,5.3,1.7,777,"Meat,Salad"
27,"Basil_&_Garlic_Chicken_Breast,Black_Pepper_Chicken_Breast",217,40.3,3.2,0.5,0,6.7,1.0,1092,Meat
28,"Basil_&_Garlic_Chicken_Breast,Sweet_Pepper_Garlic_Chicken_Breast",236,42.599999999999994,3.7,0.5,0,8.2,2.5,1017,Meat
29,"Basil_&_Garlic_Chicken_Breast,Peking_Duck_Cold_Wrap",316,29.7,7.9,2.9,0,31.6,6.1,1220,"Meat,Wrap"
30,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Basil_&_Garlic_Chicken_Breast",359,33.4,12.7,2.5,0,27.8,2.8,988,"Meat,Wrap"
31,"Basil_&_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",566,42.2,24.4,2.5,0,44.5,5.0,1069,"Meat,Wrap"
32,"Basil_&_Garlic_Chicken_Breast,Caesar_Chicken_Cold_Wrap",436,41.9,16.1,3.5,0,30.9,3.0,869,"Meat,Wrap"
33,"Basil_&_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich",372,30.4,19.3,4.8,0,19.2,3.7,857,"Meat,Sandwich"
34,"Basil_&_Garlic_Chicken_Breast,Ham_Cheese_&_Pickle_Sandwich",316,29.7,11.7,3.2,0,23.0,4.5,916,"Meat,Sandwich"
35,"Basil_&_Garlic_Chicken_Breast,Super_Club_Sandwich",284,28.599999999999998,10.1,2.4,0,19.8,3.2,763,"Meat,Sandwich"
36,"Basil_&_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich",342,30.9,13.799999999999999,2.4,0,23.5,2.1,837,"Meat,Sandwich"
37,"Basil_&_Garlic_Chicken_Breast,Chef_Salad",256,28.0,12.0,1.6,0,8.8,2.1,709,"Meat,Salad"
38,"Chicken_Caesar_Salad,Basil_&_Garlic_Chicken_Breast",245,30.4,11.2,1.6,0,5.7,2.7,696,"Meat,Salad"
39,"Black_Pepper_Chicken_Breast,Sweet_Pepper_Garlic_Chicken_Breast",223,41.099999999999994,3.5,0.0,0,6.9,1.5,1171,Meat
40,"Black_Pepper_Chicken_Breast,Peking_Duck_Cold_Wrap",303,28.2,7.7,2.4,0,30.3,5.1,1374,"Meat,Wrap"
41,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Black_Pepper_Chicken_Breast",346,31.9,12.5,2.0,0,26.5,1.8,1142,"Meat,Wrap"
42,"Black_Pepper_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",553,40.7,24.2,2.0,0,43.2,4.0,1223,"Meat,Wrap"
43,"Black_Pepper_Chicken_Breast,Caesar_Chicken_Cold_Wrap",423,40.4,15.9,3.0,0,29.599999999999998,2.0,1023,"Meat,Wrap"
44,"Bacon_&_Egg_Mayo_Sandwich,Black_Pepper_Chicken_Breast",359,28.9,19.1,4.3,0,17.9,2.7,1011,"Meat,Sandwich"
45,"Black_Pepper_Chicken_Breast,Ham_Cheese_&_Pickle_Sandwich",303,28.2,11.5,2.7,0,21.7,3.5,1070,"Meat,Sandwich"
46,"Black_Pepper_Chicken_Breast,Super_Club_Sandwich",271,27.099999999999998,9.9,1.9,0,18.5,2.2,917,"Meat,Sandwich"
47,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Black_Pepper_Chicken_Breast",329,29.4,13.6,1.9,0,22.2,1.1,991,"Meat,Sandwich"
48,"Chef_Salad,Black_Pepper_Chicken_Breast",243,26.5,11.8,1.1,0,7.5,1.1,863,"Meat,Salad"
49,"Chicken_Caesar_Salad,Black_Pepper_Chicken_Breast",232,28.9,11.0,1.1,0,4.4,1.7,850,"Meat,Salad"
50,"Peking_Duck_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast",322,30.5,8.2,2.4,0,31.8,6.6,1299,"Meat,Wrap"
51,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast",365,34.2,13.0,2.0,0,28.0,3.3,1067,"Meat,Wrap"
52,"Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",572,43.0,24.7,2.0,0,44.7,5.5,1148,"Meat,Wrap"
53,"Caesar_Chicken_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast",442,42.7,16.4,3.0,0,31.099999999999998,3.5,948,"Meat,Wrap"
54,"Bacon_&_Egg_Mayo_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast",378,31.2,19.6,4.3,0,19.4,4.2,936,"Meat,Sandwich"
55,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast",322,30.5,12.0,2.7,0,23.2,5.0,995,"Meat,Sandwich"
56,"Super_Club_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast",290,29.4,10.4,1.9,0,20.0,3.7,842,"Meat,Sandwich"
57,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast",348,31.7,14.1,1.9,0,23.7,2.6,916,"Meat,Sandwich"
58,"Chef_Salad,Sweet_Pepper_Garlic_Chicken_Breast",262,28.799999999999997,12.3,1.1,0,9.0,2.6,788,"Meat,Salad"
59,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast",251,31.2,11.5,1.1,0,5.9,3.2,775,"Meat,Salad"
60,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap",445,21.3,17.2,4.4,0,51.400000000000006,6.8999999999999995,1270,Wrap
61,"Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",652,30.1,28.9,4.4,0,68.1,9.1,1351,Wrap
62,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap",522,29.8,20.6,5.4,0,54.5,7.1,1151,Wrap
63,"Bacon_&_Egg_Mayo_Sandwich,Peking_Duck_Cold_Wrap",458,18.3,23.8,6.699999999999999,0,42.8,7.8,1139,"Sandwich,Wrap"
64,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap",402,17.6,16.2,5.1,0,46.6,8.6,1198,"Sandwich,Wrap"
65,"Super_Club_Sandwich,Peking_Duck_Cold_Wrap",370,16.5,14.600000000000001,4.3,0,43.400000000000006,7.3,1045,"Sandwich,Wrap"
66,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Peking_Duck_Cold_Wrap",428,18.8,18.3,4.3,0,47.1,6.199999999999999,1119,"Sandwich,Wrap"
67,"Chef_Salad,Peking_Duck_Cold_Wrap",342,15.9,16.5,3.5,0,32.4,6.199999999999999,991,"Salad,Wrap"
68,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap",331,18.3,15.7,3.5,0,29.3,6.8,978,"Salad,Wrap"
69,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",695,33.8,33.7,4.0,0,64.3,5.8,1119,Wrap
70,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Caesar_Chicken_Cold_Wrap",565,33.5,25.4,5.0,0,50.7,3.8,919,Wrap
71,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich",501,22.0,28.6,6.3,0,39.0,4.5,907,"Sandwich,Wrap"
72,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich",445,21.3,21.0,4.7,0,42.8,5.3,966,"Sandwich,Wrap"
73,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Super_Club_Sandwich",413,20.2,19.4,3.9,0,39.6,4.0,813,"Sandwich,Wrap"
74,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich",471,22.5,23.1,3.9,0,43.3,2.9000000000000004,887,"Sandwich,Wrap"
75,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chef_Salad",385,19.6,21.3,3.1,0,28.6,2.9000000000000004,759,"Salad,Wrap"
76,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chicken_Caesar_Salad",374,22.0,20.5,3.1,0,25.5,3.5,746,"Salad,Wrap"
77,"Caesar_Chicken_Cold_Wrap,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",772,42.3,37.1,5.0,0,67.4,6.0,1000,Wrap
78,"Bacon_&_Egg_Mayo_Sandwich,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",708,30.8,40.3,6.3,0,55.7,6.7,988,"Sandwich,Wrap"
79,"Ham_Cheese_&_Pickle_Sandwich,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",652,30.1,32.7,4.7,0,59.5,7.5,1047,"Sandwich,Wrap"
80,"Super_Club_Sandwich,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",620,29.0,31.1,3.9,0,56.3,6.2,894,"Sandwich,Wrap"
81,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",678,31.3,34.8,3.9,0,60.0,5.1,968,"Sandwich,Wrap"
82,"Chef_Salad,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",592,28.4,33.0,3.1,0,45.3,5.1,840,"Salad,Wrap"
83,"Chicken_Caesar_Salad,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",581,30.8,32.2,3.1,0,42.2,5.7,827,"Salad,Wrap"
84,"Bacon_&_Egg_Mayo_Sandwich,Caesar_Chicken_Cold_Wrap",578,30.5,32.0,7.3,0,42.099999999999994,4.7,788,"Sandwich,Wrap"
85,"Ham_Cheese_&_Pickle_Sandwich,Caesar_Chicken_Cold_Wrap",522,29.8,24.4,5.7,0,45.9,5.5,847,"Sandwich,Wrap"
86,"Super_Club_Sandwich,Caesar_Chicken_Cold_Wrap",490,28.7,22.8,4.9,0,42.7,4.2,694,"Sandwich,Wrap"
87,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Caesar_Chicken_Cold_Wrap",548,31.0,26.5,4.9,0,46.4,3.1,768,"Sandwich,Wrap"
88,"Chef_Salad,Caesar_Chicken_Cold_Wrap",462,28.1,24.700000000000003,4.1,0,31.7,3.1,640,"Salad,Wrap"
89,"Chicken_Caesar_Salad,Caesar_Chicken_Cold_Wrap",451,30.5,23.9,4.1,0,28.599999999999998,3.7,627,"Salad,Wrap"
90,"Bacon_&_Egg_Mayo_Sandwich,Ham_Cheese_&_Pickle_Sandwich",458,18.3,27.6,7.0,0,34.2,6.2,835,Sandwich
91,"Bacon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich",426,17.2,26.0,6.199999999999999,0,31.0,4.9,682,Sandwich
92,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Bacon_&_Egg_Mayo_Sandwich",484,19.5,29.700000000000003,6.199999999999999,0,34.7,3.8000000000000003,756,Sandwich
93,"Chef_Salad,Bacon_&_Egg_Mayo_Sandwich",398,16.6,27.900000000000002,5.4,0,20.0,3.8000000000000003,628,"Salad,Sandwich"
94,"Chicken_Caesar_Salad,Bacon_&_Egg_Mayo_Sandwich",387,19.0,27.1,5.4,0,16.9,4.4,615,"Salad,Sandwich"
95,"Super_Club_Sandwich,Ham_Cheese_&_Pickle_Sandwich",370,16.5,18.4,4.6,0,34.8,5.7,741,Sandwich
96,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Ham_Cheese_&_Pickle_Sandwich",428,18.8,22.1,4.6,0,38.5,4.6,815,Sandwich
97,"Chef_Salad,Ham_Cheese_&_Pickle_Sandwich",342,15.9,20.3,3.8000000000000003,0,23.8,4.6,687,"Salad,Sandwich"
98,"Chicken_Caesar_Salad,Ham_Cheese_&_Pickle_Sandwich",331,18.3,19.5,3.8000000000000003,0,20.7,5.2,674,"Salad,Sandwich"
99,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich",396,17.7,20.5,3.8,0,35.3,3.3000000000000003,662,Sandwich
100,"Chef_Salad,Super_Club_Sandwich",310,14.8,18.700000000000003,3.0,0,20.6,3.3000000000000003,534,"Salad,Sandwich"
101,"Chicken_Caesar_Salad,Super_Club_Sandwich",299,17.2,17.9,3.0,0,17.5,3.9000000000000004,521,"Salad,Sandwich"
102,"Chef_Salad,Smoked_Salmon_&_Egg_Mayo_Sandwich",368,17.1,22.4,3.0,0,24.3,2.2,608,"Salad,Sandwich"
103,"Chicken_Caesar_Salad,Smoked_Salmon_&_Egg_Mayo_Sandwich",357,19.5,21.6,3.0,0,21.2,2.8,595,"Salad,Sandwich"
104,"Chicken_Caesar_Salad,Chef_Salad",271,16.6,19.8,2.2,0,6.5,2.8,467,Salad
105,"Basil_&_Garlic_Chicken_Breast,Black_Pepper_Chicken_Breast,Herbs_Chicken_Breast",329,61.4,4.6,0.5,0,10.3,1.0,1642,Meat
106,"Sweet_Pepper_Garlic_Chicken_Breast,Basil_&_Garlic_Chicken_Breast,Herbs_Chicken_Breast",348,63.7,5.1,0.5,0,11.8,2.5,1567,Meat
107,"Peking_Duck_Cold_Wrap,Basil_&_Garlic_Chicken_Breast,Herbs_Chicken_Breast",428,50.8,9.3,2.9,0,35.2,6.1,1770,"Meat,Wrap"
