Coarse_Class_Antecedent,Coarse_Class_Consequent,Coarse_Class_Confidence,Fine_Class_Antecedent,Fine_Class_Consequent,Fine_Class_Confidence
"Seafood","Meat",0.3242771852149996,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix",0.2375130160223036
"Meat","Seafood",0.3244839738211109,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi",0.3062099428373462
"Salad","Meat",0.6110220874837592,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix",0.2362260106507686
"Meat","Salad",0.4735190468199362,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon",0.305430452104625
"Salad","Seafood",0.6138588133391079,"Cut-Fruit_Cup_Seasonal_Mix","Mixed_Veggie_Stir_Fry",0.155032045730123
"Seafood","Salad",0.4754142349231904,"Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.1549448171391473
"Salad","Seafood, Meat",0.2268947596362061,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0397226780989382
"Seafood","Salad, Meat",0.1757228147850003,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon, Mixed_Veggie_Stir_Fry",0.0513597782781915
"Meat","Salad, Seafood",0.1758348716227555,"Mixed_Veggie_Stir_Fry","Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix",0.0513308807617398
"Salad, Seafood","Meat",0.3696204317764922,"Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix","Mixed_Veggie_Stir_Fry",0.1681553948674323
"Salad, Meat","Seafood",0.3713364283942305,"Grilled_Salmon, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.1660366792664147
"Seafood, Meat","Salad",0.541890773686388,"Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Grilled_Salmon",0.3312849162011173
"Fruit_cup","Meat",0.6147599558240758,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0400053743575963
"Meat","Fruit_cup",0.4764054371538848,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi, Mixed_Veggie_Stir_Fry",0.0515763034817252
"Salad","Fruit_cup",0.3254222607189259,"Mixed_Veggie_Stir_Fry","Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix",0.0515472841376325
"Fruit_cup","Salad",0.3254293076939734,"Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix","Mixed_Veggie_Stir_Fry",0.168434450572762
"Fruit_cup","Seafood",0.6120314428636393,"Shrimp_Scampi, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.1703618938635388
"Seafood","Fruit_cup",0.473988730126786,"Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Shrimp_Scampi",0.3326815642458101
"Salad","Fruit_cup, Meat",0.2149848419229103,"Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad",0.1105577689243028
"Fruit_cup","Salad, Meat",0.2149894973905887,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix",0.1655749400090797
"Meat","Salad, Fruit_cup",0.1666051350897801,"Grilled_Salmon","Chicken_Caesar_Salad",0.1600964597916736
"Salad, Fruit_cup","Meat",0.6606334841628959,"Chicken_Caesar_Salad","Grilled_Salmon",0.3100071340553862
"Salad, Meat","Fruit_cup",0.3518446326682496,"Chicken_Caesar_Salad","Grilled_Vegetables",0.1599325507490758
"Fruit_cup, Meat","Salad",0.3497129169748846,"Grilled_Vegetables","Chicken_Caesar_Salad",0.1069430591092415
"Salad","Fruit_cup, Seafood",0.216240796881767,"Shrimp_Scampi","Chicken_Caesar_Salad",0.1587114977662826
"Fruit_cup","Salad, Seafood",0.2162454795469802,"Chicken_Caesar_Salad","Shrimp_Scampi",0.3064401063622803
"Seafood","Salad, Fruit_cup",0.1674716576105185,"Chicken_Caesar_Salad","Mixed_Veggie_Stir_Fry",0.1609053764835592
"Salad, Fruit_cup","Seafood",0.664492946499867,"Mixed_Veggie_Stir_Fry","Chicken_Caesar_Salad",0.1073793551179398
"Salad, Seafood","Fruit_cup",0.3522647100324538,"Cut-Fruit_Cup_Healthy_Mix","Chicken_Caesar_Salad",0.1106250270715121
"Fruit_cup, Seafood","Salad",0.3533241340268195,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Healthy_Mix",0.1656397950580452
"Salad","Fruit_cup, Seafood, Meat",0.1063447379818103,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0279331480054928
